ID,PROMOTOR-GESTOR,ACCES,TIPUS VELOCITAT,TIPUS CONNEXIÓ,LATITUD,LONGITUD,DESIGNACIÓ-DESCRIPTIVA,POTENCIA,TIPUS DE CORRENT,INDENTIFICADOR,ADREÇA,PROVINCIA,CODIPROV,MUNICIPI,NPLACES ESTACIÓ,CODIMUN,TIPUS VEHICLE,Columna amb georeferència
,B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,Schuko,41.391087,2.147544,B:SM 53 - Londres,,,BAMSA015,"Carrer de Londres, 55",Barcelona,08,Barcelona,1,,cotxe,POINT (2.147544 41.391087)
,Hotel Don Cándido,APARCAMENT HOTEL,NORMAL,MENNEKES.F+Schuko,41.552551,2.008381,Hotel Don Cándido,,,,"Carrer Rambleta Pare Alegre, 98",Barcelona,08,Terrassa,3,,cotxe i moto,POINT (2.008381 41.552551)
,TESLA,APARCAMENT HOTEL,semiRAPID,TESLA,41.52733,2.3107,"TESLA Destinació - Mas Salagros, Ecoresort & Ancient Baths (22kW)",22,AC,,"Riera de Vallromanes, S/N",Barcelona,08,Vallromanes,1,,cotxe,POINT (2.3107 41.52733)
,,,semiRAPID i NORMAL,"2xMENNEKES,F+ 2xSchuko",40.78493,0.52571,EdRsR CC Baix Ebre-Tortosa (AC22kW) PIRVEC-25,22,AC,PIRVEC-25,"Avinguda de Barcelona, 221",Tarragona,43,Tortosa,,,,POINT (0.52571 40.78493)
,B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.4274,2.1772,B:SM 16 - Illa Borbó,,,BSM019,"Carrer de Ramon Albó ,77",Barcelona,08,Barcelona,1+1,,cotxe i moto,POINT (2.1772 41.4274)
,Endesa,VIA PUBLICA,NORMAL,Schuko,41.387074,2.17142,23 AjBCN-Endesa Fontanella-Pl.Catalunya,,,LC006,"Carrer de Fontanella, 1",Barcelona,08,Barcelona,2,,moto,POINT (2.17142 41.387074)
,Institut Català d'Energia i Ajuntament de Puigcerdà,,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,42.42681,1.92922,EdRR Puigcerdà (DC50kW AC43kW) PIRVEC-20,50,AC-DC,PIRVEC-20,"Camí d'Age, 21",Girona,17,Puigcerdà,2,,,POINT (1.92922 42.42681)
,Aparcament Abart,APARCAMENT PUBLIC,NORMAL,Schuko,41.396271,2.149651,111 Aparcament Abart,,,,"Travessera de Gràcia, 53-65",Barcelona,08,Barcelona,1,,cotxe i moto,POINT (2.149651 41.396271)
,PETREM,ESTACIÓ DE SERVEI,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,42.23124,2.95607,EdRR E.S. PETREM Santa Llogaia (DC50kW AC44kW),50,AC-DC,,"Carretera N-IIa, 1",Girona,17,Santa Llogaia d'Àlguema,2,,cotxe,POINT (2.95607 42.23124)
,,,semiRAPID,TESLA i MENNEKES,41.38966,2.13507,CC Illa Diagonal (22kW),22,AC,,Avinguda Diagonal 559-Carrer de Numància,Barcelona,08,Barcelona,4,,,POINT (2.13507 41.38966)
,GAICU,VIA PUBLICA,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.40477,2.174794,EdRR-Sagrada Família-Provença -KFC (DC50kW AC43kW),50,AC-DC,FC009,"Carrer Provença, 447",Barcelona,08,Barcelona,1,,cotxe,POINT (2.174794 41.40477)
,Institut Català d'Energia i Ajuntament de Montblanc,,RAPID,CCS Combo2+ChadeMO+MENNEKES.M i 2xShucko+2MENNEKES.F,41.37739,1.16358,EdRR Montblanc (DC50kW AC43kW+AC22kW) PIRVEC-14,50,AC-DC,PIRVEC-14,"Muralla de Santa Tecla, 51",Tarragona,43,Montblanc,4,,,POINT (1.16358 41.37739)
,Aparcament Vapor Turull,APARCAMENT PUBLIC,NORMAL,Schuko,41.549386309,2.111784403,Aparcament Vapor Turull,,,,Carrer de la Creueta,Barcelona,08,Sabadell,1,,,POINT (2.111784403 41.549386309)
,,,,,41.08313,0.95859,EdRsR Mont-Roig del Camp Miami (AC22kW),22,AC,,"Carrer de Soria, 17",Tarragona,43,Mont-Roig del Camp,,,,POINT (0.95859 41.08313)
,CC Sant Cugat,APARCAMENT CC,semiRAPID i NORMAL,MENNEKES.F+Schuko,41.4831,2.05401,EdRsR CC Sant Cugat (AC22kW),22,AC,,"Avinguda de la Via Augusta, 2-14",Barcelona,08,Sant Cugat del Vallès,4,,cotxe i moto,POINT (2.05401 41.4831)
,Gintra- Ap.TECNOCAMPUS,APARCAMENT PUBLIC,NORMAL,Schuko,41.527773587,2.433324182,Gintra-Ap.TECNOCAMPUS,,,,"Carrer Tordera, 2",Barcelona,08,Mataró,1,,,POINT (2.433324182 41.527773587)
,Parking Galvany,,NORMAL,Schuko i MENNEKES.F,41.3969749826735,2.14315306395292,Aparcament Galvany,,,,"Carrer de Calaf, 28",Barcelona,08,Barcelona,2,,cotxe i moto,POINT (2.14315306395292 41.3969749826735)
,BIMSA,VIA PUBLICA,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.393773,2.149196,EdRRx2-Diagonal Aribau  (DC50kW AC43kW),50,AC-DC,FC012,"Avinguda Diagonal, 445-447",Barcelona,08,Barcelona,1,,cotxe,POINT (2.149196 41.393773)
,AEB,VIA PUBLICA,NORMAL,Schuko,41.394226,2.169715,88 AjBCN-ETRA COBRA Bruc-Consell de Cent,,,LC007,"Carrer del Bruc, 84",Barcelona,08,Barcelona,2,,cotxe i moto,POINT (2.169715 41.39422600000001)
,IBIL,ESTACIÓ DE SERVEI (IBIL),RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.11432,1.15586,IBIL ES REPSOL-Vilaseca (DC50kW AC43kW),50,AC-DC,,Avinguda Vila del Comú 22A,Tarragona,43,Vilaseca,1,,cotxe,POINT (1.15586 41.11432)
,"IBERDROLA SERVICIOS ENERGETICOS, SAU",VIA PUBLICA,NORMAL,Schuko,41.385166,2.116051,084 ETSEIB,,,LC037,Carrer de Pasqual i Vila 22 - Avinguda  Diagonal,Barcelona,08,Barcelona,6,,moto,POINT (2.116051 41.385166)
,B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,Schuko,41.388797,2.192651,B:SM 40 - Wellington - Zoo,,,BSM039,"Carrer de Ramon Trias Fargas, 19",Barcelona,08,Barcelona,1,,cotxe,POINT (2.192651 41.388797)
,,,semiRAPID i NORMAL,MENNEKES.F + Schuko,41.74441,1.8054,EdRsR Vilatorrada (AC22kW),22,AC,,"Carrer Major, 54",Barcelona,08,Sant Joan de Vilatorrada,,,,POINT (1.8054 41.74441)
,TESLA,APARCAMENT HOTEL,semiRAPID,TESLA,41.82447,3.07745,TESLA Destinació - Salles Hotel & Spa Cala del Pi (22kW),22,AC,,"Av. del Cavall Bernat, 160",Girona,17,Platja d'Aro,1,,cotxe,POINT (3.07745 41.82447)
,,,semiRAPID,2xMENNEKES.F,42.02845,2.88814,EdRsR Celrà (AC22kW),22,AC,,Carrer de Just Puig (Canigó-Aumet),Girona,17,Celrà,,,,POINT (2.88814 42.02845)
,BIMSA,VIA PUBLICA,NORMAL,Schuko,41.394501,2.152312,Lateral-Mar Diagonal (Aribau-Enric Granados) 1,,,LC043,"Avinguda Diagonal, 429",Barcelona,08,Barcelona,2,,moto,POINT (2.152312 41.394501)
,Institut Català d'Energia i Ajuntament de Mataró,,semiRAPID,2xMENNEKES.F,41.54148,2.44324,EdRsR Mataró Muralla Presó (AC22kW),22,AC,,"Muralla de la Presó, 11",Barcelona,08,Mataró,2,,,POINT (2.44324 41.54148)
,Valencia 2013,APARCAMENT PUBLIC,NORMAL,Schuko,41.392466102,2.163201936,Valencia 2013,,,,"Carrer València, 270",Barcelona,08,Barcelona,1,,,POINT (2.163201936 41.392466102)
,,VIA PUBLICA,semiRAPID i NORMAL,MENNEKES.F+Schuko,41.23829,1.75831,EdRsR Sant Pere de Ribes 3 (AC6kW),6,AC,,"Carrer les Modistes, 8",Barcelona,08,Sant Pere de Ribes,2,,cotxe i moto,POINT (1.75831 41.23829)
,B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.459612,2.175628,B:SM 42 - Ciutat Meridiana,,,BSM035,"Carrer dels Rasos de Peguera, 51 S",Barcelona,08,Barcelona,3,,cotxe o moto,POINT (2.175628 41.459612)
,,APARCAMENT HOTEL,semiRAPID,TESLA,41.91431,1.68565,TESLA Destinació - Parador Cardona (11kW),11,AC,,Castell de Cardona s/n,Barcelona,9,Cardona,2,,,POINT (1.68565 41.91431)
,Ajuntament de Lloret de Mar,VIA PUBLICA,semiRAPID i NORMAL,MENNEKES.F+Schuko,41.698525,2.8477586,Ajuntament de Lloret de Mar,,,,"Passeig d'Agustí Font,2, Ajuntament",Girona,17,Lloret de Mar,2,,cotxe i moto,POINT (2.8477586 41.698525)
,Aparcament La Farola,APARCAMENT PUBLIC,NORMAL,Schuko,41.7287941,1.8245564,Aparcament La Farola,,,,"Carrer de Canyelles, 5",Barcelona,08,Manresa,2,,cotxe i moto,POINT (1.8245564 41.7287941)
,,,semiRAPID,2xMENNEKES.F,41.23965,1.8019,EdRsR Sitges (AC22kW),22,AC,,"Carrer de Víctor Balaguer, 13",Barcelona,08,Sitges,2,,cotxe i moto,POINT (1.8019000000000003 41.239650000000005)
,TESLA,APARCAMENT HOTEL,semiRAPID,TESLA,41.79054,3.0558,TESLA Destinació - Hostal de la Gavina (11kW),11,AC,,"Plaça Rosaleda, S/N",Girona,17,S'Agaró,1,,cotxe,POINT (3.0558 41.79054)
,B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.389954,2.128284,B:SM 11 - Flos i Calcat,,,BSM004,"Carrer de Flos i Calcat, 2",Barcelona,08,Barcelona,3+1,,cotxe i moto,POINT (2.128284 41.389954)
,,,semiRAPID i NORMAL,MENNEKES.F+Schuko,41.58935,1.62138,Aparcament Park Igualada N SIMA (AC22kW),22,AC,,"Carrer de Lecco, 30",Barcelona,08,Igualada,2,,,POINT (1.62138 41.58935)
,TESLA,APARCAMENT HOTEL,semiRAPID,TESLA,41.38537,2.15675,TESLA Destinació - Hotel Acevi Villarroel (11kW),11,AC,,"Carrer Villaroel, 106",Barcelona,08,Barcelona,1,,cotxe,POINT (2.15675 41.38537)
,Institut Català d'Energia i Ajuntament de Reus,VIA PUBLICA,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.15472,1.11168,EdRR Reus Riera Miró (DC50kW AC43kW),50,AC-DC,PIRVEC-4,"Riera d'Aragó, 30, ó Raval de Sant Pere, 27-29",Tarragona,43,Reus,2,,cotxe,POINT (1.11168 41.15472)
,,,semiRAPID,TESLA i MENNEKES,41.44083,2.19849,CC La Maquinista (22kW),22,AC,,"Carrer de Potosí, 2",Barcelona,08,Barcelona,4,,,POINT (2.19849 41.44083)
,SABA,APARCAMENT PUBLIC,NORMAL,Schuko,41.389408,2.183425,78 SABA Lluís Companys,,,,"Passeig Lluís Companys, 2",Barcelona,08,Barcelona,4,,cotxe,POINT (2.183425 41.389408)
,AEB,VIA PUBLICA,NORMAL,Schuko,41.420052,2.181559,95 AjBCN-ETRA-COBRA Maragall-Olesa,,,LC020,"Plaça de Maragall, 21",Barcelona,08,Barcelona,2,,cotxe i moto,POINT (2.181559 41.420052000000005)
,TESLA,APARCAMENT HOTEL,semiRAPID,TESLA,41.37035,2.17139,TESLA Destinació - Hotel Miramar (22kW),22,AC,,"Plaça Carlos Ibañez, 3",Barcelona,08,Barcelona,2,,cotxe,POINT (2.17139 41.37035)
,Endesa,VIA PUBLICA,NORMAL,Schuko,41.41162,2.218508,06 AjBCN-Endesa-Forum-RamblaPrim,,,LC022,"Rambla de Prim, 19",Barcelona,08,Barcelona,2,,moto,POINT (2.218508 41.41162)
,REGESA,APARCAMENT PUBLIC,NORMAL,Schuko,41.41851,2.186116,74 REGESA Ferran Reyes,,,,"Plaça de Ferran Reyes, 9",Barcelona,08,Barcelona,4,,cotxe,POINT (2.186116 41.41851)
,B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.449138,2.190748,B:SM 41 - Galicia,,,BSM034,"Carrer de Galicia, 16",Barcelona,08,Barcelona,2,,cotxe,POINT (2.190748 41.449138)
,Institut Català d'Energia i Ajuntament de Mataró,,semiRAPID,2xMENNEKES.F,41.53969,2.42597,EdRsR Mataró Gatassa (AC22kW),22,AC,,"Avinguda de la Gatassa, 130",Barcelona,08,Mataró,4,,,POINT (2.42597 41.53969)
,Aparcament Dr.Roig i Raventós,APARCAMENT PUBLIC,NORMAL,Schuko,41.4035393,2.130069,Aparcament Dr.Roig i Raventós (P-1),,,,"Carrer Dalmases, 76 B",Barcelona,08,Barcelona,1,,,POINT (2.130069 41.4035393)
,TESLA,APARCAMENT HOTEL,semiRAPID,TESLA,41.186289,1.159963,TESLA Destinació - Hotel Monument Mas Passamaner (22kW),22,AC,,"Cami de la Serra, 52",Tarragona,43,La Selva del Camp,2,,cotxe,POINT (1.159963 41.186289)
,Ajuntament de Rubí,APARCAMENT PUBLIC,semiRAPID,MENNEKES+Schuko,41.501781,2.029948,EdRsR Rubí BRILLA-Can Serra (7.5kW),7.5,AC,,"Carrer de Can Serra, 3",Barcelona,08,Rubí,2+2+3,,cotxe i moto,POINT (2.029948 41.501781)
,Ajuntament de Mataró,,semiRAPID,,41.53882,2.44245,EdRsR Mataró Tereses (AC22kW),22,AC,,"Plaça de les Tereses, 3-5",Barcelona,08,Mataró,2,,,POINT (2.4424500000000005 41.53882)
,SERVICIOS MERIDIANA,APARCAMENT PUBLIC,NORMAL,Schuko,41.402645,2.202802,116 SERVICIOS MERIDIANA,,,,"Passatge Saladrigas, 4-6",Barcelona,08,Barcelona,6,,cotxe i moto,POINT (2.202802 41.402645)
,TESLA Hotel Mas la Boella,APARCAMENT HOTEL,superRAPID,TESLA+MENNEKES.F,41.134761,1.169125,TESLA Supercarregador - Tarragona - Hotel Mas la Boella (120kW),120,DC,,"Autovia T-11 sortida 12, La Canonja",Tarragona,43,La Canonja,4,,cotxe,POINT (1.169125 41.134761000000005)
,,,NORMAL,Schuko,41.22512,1.5442,Les Mates - El Vendrell,,,,Carrer Les Mates 1,Tarragona,43,El Vendrell,4,,cotxe i moto,POINT (1.5442 41.22512)
,"IBERDROLA SERVICIOS ENERGETICOS, SAU",VIA PUBLICA,NORMAL,Schuko,41.4064,2.2012,123 MOBECPOINT-Hotel Me,,,LC040,"Carrer de Lope de Vega, 158 - Carrer Pere IV",Barcelona,08,Barcelona,9,,moto,POINT (2.2012 41.4064)
,,,semiRAPID i NORMAL,MENNEKES.F + Schuko,42.36972,2.98167,EdRsR Sant Climent Sescebes (AC22kW),22,AC,,"Carrer de Icària, 14",Girona,17,Sant Climent Sescebes,1,,cotxe i moto,POINT (2.98167 42.36972)
,,,NORMAL,MENNEKES.F,41.78624,1.2874,Aparcament illa Guissona,,,,"Carrer Montsec, 7",Lleida,17,Guissona,1,,cotxe i moto,POINT (1.2874 41.78624)
,Restaurant El Molí de Mallol,RESTAURANT,NORMAL,Schuko,41.3793661,1.1631832,Restaurant El Molí de Mallol,,,,"Carrer  de la Muralla  de Santa Anna, 19",Tarragona,43,Montblanc,1,,moto i cotxe,POINT (1.1631832 41.3793661)
,TESLA,APARCAMENT HOTEL,semiRAPID,TESLA,42.13143,3.12174,TESLA Destinació - Hotel Empuries (11kW),11,AC,,"Avinguda Pi i Llusà, Platja",Girona,17,Empuries,2,,cotxe,POINT (3.12174 42.13143)
,Endesa,VIA PUBLICA,NORMAL,Schuko,41.423615,2.179456,11 AjBCN-Endesa Garcilaso,,,LC019,"Carrer de Garcilaso, 204",Barcelona,08,Barcelona,2,,moto,POINT (2.179456 41.423615)
,,,semiRAPID,2xMENNEKES.F,41.42394,1.78662,EdRsR Ajuntament de Sant Sadurní d'Anoia (AC7.5kW),7.5,AC,,"Carrer de Sant Antoni, 20-26",Barcelona,08,Sant Sadurní d'Anoia,,,,POINT (1.78662 41.42394)
,,APARCAMENT PUBLIC,NORMAL,Schuko,41.588539,2.580349,Aparcament Mercury,,,,"Riera Gavarra, 12",Barcelona,08,Canet de Mar,1,,cotxe o moto,POINT (2.580349 41.588539000000004)
,Area Metropolitana de Barcelona,VIA PUBLICA (AMB),RAPID i NORMAL,CCS Combo2+ChadeMO+MENNEKES.M+shucko,41.4828,2.05134,EdRR Sant Cugat (DC50kW AC43kW) AMB8,50,AC-DC,AMB8,"Avinguda de la Via Augusta, 2-14",Barcelona,08,Sant Cugat del Vallès,2,,,POINT (2.05134 41.4828)
,HOTEL MELIÀ SITGES,APARCAMENT PUBLIC,NORMAL,Schuko,41.23712,1.82353,Hotel Melià Sitges,,,,"Joan Salvat Papasseit, 38",Barcelona,08,Sitges,4,,cotxe i moto,POINT (1.8235300000000003 41.23712)
,B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.394009,2.115265,B:SM 20 - Marques de Mulhacen,,,BSM015,"Carrer de Marquès de Mulhacén, 49-51",Barcelona,08,Barcelona,6+2,,cotxe i moto,POINT (2.115265 41.394009)
,CC CARREFOUR MANRESA,APARCAMENT CC,NORMAL,Schuko,41.7227,1.8456,CC CARREFOUR MANRESA,,,,Carrer de Joan Fuster-Avinguda Països Catalans,Barcelona,08,Manresa,1,,,POINT (1.8456 41.7227)
,Camping Les Medes,APARCAMENT CAMPING,semiRAPID i NORMAL,MENNEKES.F+Schuko,42.04324,3.18497,Camping Les Medes (AC22kW),22,AC,,"Paratge Camp de l'arbre, s/n",Girona,17,L'Estartit,2,,cotxe i moto,POINT (3.18497 42.04324)
,Bassols energia,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,42.18294,2.48422,Aparcament Centre,,,,"Carrer Bisbe Ramon Guillamet, 7",Girona,17,Olot,2,,cotxe i moto,POINT (2.48422 42.18294)
,B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.399815,2.123474,B:SM 32 - Porta de Sarrià,,,BSM023,"Carrer de Salvador Mundí, 17",Barcelona,08,Barcelona,2+1,,cotxe i moto,POINT (2.123474 41.399815)
,B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.403165,2.189422,B:SM 3 - Badajoz -Glòries,,,BSM020,"Carrer de Badajoz, 168",Barcelona,08,Barcelona,3+2,,cotxe i moto,POINT (2.189422 41.403165)
,B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,Schuko,41.398969,2.153493,B:SM 57 - Plaça Gal·la Placídia,,,BAMSA002,"Plaça de Gal·la Placídia, 2",Barcelona,08,Barcelona,1,,cotxe,POINT (2.153493 41.398969)
,B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.386972,2.197056,B:SM 19 - Marina Port,,,BSM013,"Carrer de la Marina, 13-17",Barcelona,08,Barcelona,7+2,,cotxe i moto,POINT (2.197056 41.386972)
,VNG Charlie Rivel,APARCAMENT PUBLIC,NORMAL,Schuko,41.220585799,1.723097599,Aparcament Charlie Rivel,,,,"Carrer del Pare Garí, 91",Barcelona,08,Vilanova i la Geltrú,2,,cotxe i moto,POINT (1.723097599 41.220585799)
,,,semiRAPID,2xMENNEKES.F,41.74441,1.8054,EdRsR Sant Joan de Vilatorrada (AC22kW),22,AC,,"Carrer Major, 54",Barcelona,08,Sant Joan de Vilatorrada,2,,,POINT (1.8054 41.74441)
,,,semiRAPID,CCS Combo2+ChadeMO+MENNEKES.F,41.34179,1.70083,EdRsR Vilafranca del Penedés (DC25kW AC22kW),22,DC,,Camp del Cellerot,Barcelona,08,Vilafranca del Penedès,2,,,POINT (1.70083 41.34179)
,Ajuntament de Vic,VIA PUBLICA,NORMAL,Schuko,41.926851,2.245734,Xemeneia del Sucre,,,,"Avinguda del Mercat, 6",Barcelona,08,Vic,2,,cotxe,POINT (2.245734 41.926851)
,Hotel Restaurant SAUSA,HOTEL-Restaurant,NORMAL,Schuko,42.09517389742783,2.892667204141617,Hotel Restaurant SAUSA,,,,"Carretera N-II, km 732",Girona,17,Terradelles,1,,,POINT (2.892667204141617 42.09517389742783)
,Camping,APARCAMENT CAMPING,semiRAPID i NORMAL,MENNEKES.F+Schuko,42.17743,3.10797,Camping Aquarius (AC22kW),22,AC,,Camí Vell a Sant Pere Pescador,Girona,17,Sant Pere Pescador,4,,cotxe i moto,POINT (3.10797 42.17743)
,Endesa,VIA PUBLICA,NORMAL,Schuko,41.444744,2.174166,04 AjBCN-Endesa,,,LC017,"Via Favència, 169 - Almansa",Barcelona,08,Barcelona,2,,moto,POINT (2.174166 41.44474400000001)
,B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.4053,2.1429,B:SM 22 - Mitre Putxet,,,BSM018,"Ronda General Mitre, 203",Barcelona,08,Barcelona,2,,cotxe,POINT (2.1429 41.4053)
,CEPSA,ESTACIÓ DE SERVEI,RAPID i semiRAPID,CCS Combo2+ChadeMO+MENNEKES.M+2xMENNEKES.F+2xSchucko,41.08598,1.03674,EdRR CEPSA Cambrils (DC50kW AC43kW+AC22kW),50,AC-DC,,"Carretera Mombrió del Camp, km 2,2",Tarragona,17,Cambrils,2,,,POINT (1.03674 41.08598)
,SERVICIOS MERIDIANA,APARCAMENT PUBLIC,NORMAL,Schuko,41.408394,2.177052,115 SERVICIOS MERIDIANA,,,,"Carrer de Rosselló, 503-505",Barcelona,08,Barcelona,4,,cotxe i moto,POINT (2.177052 41.40839400000001)
,Institut Català d'Energia i Vandellòs i l'Hospitalet de l'Infant,,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,40.99197,0.92147,EdRR Vandellòs i Hospitalet de l'Infant (DC50kW AC43kW) PIRVEC-13,50,AC-DC,PIRVEC-13,"Carretera de Móra, 5",Tarragona,43,Vandellòs i l'Hospitalet i l'infant,2,,,POINT (0.9214699999999999 40.99197)
,B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.401408,2.133986,B:SM 12 - Ferran Casablancas,,,BSM003,"Carrer de Josep Balari, 9",Barcelona,08,Barcelona,3+1,,cotxe i moto,POINT (2.133986 41.401408)
,SABA,APARCAMENT PUBLIC,NORMAL,Schuko,41.411869,2.132823,80 SABA Cosmocaixa,,,,"Carrer dels Quatre Camins, 89",Barcelona,08,Barcelona,2,,cotxe,POINT (2.132823 41.411869)
,La Roca Village,APARCAMENT,semiRAPID i NORMAL,MENNEKES.F+Schuko,41.61369,2.34549,CC La Roca Village Aparcament (11kW),11,AC,,P.I. Can Massaguer Nord,Barcelona,08,La Roca del Vallès,2,,cotxe i moto,POINT (2.34549 41.61369)
,,,semiRAPID,MENNEKES.F,41.61072,2.23988,EdRsR EP-Estabanell Lliçà QR (AC22kW),22,AC,,"Carrer de l'Aliança, 14",Barcelona,08,Lliçà d'Amunt,2,,cotxe i moto,POINT (2.23988 41.61072000000001)
,Ajuntament de Balaguer,VIA PUBLICA,semiRAPID,2xMENNEKES.F,41.78955,0.80485,EdRsR Balaguer (AC11kW),11,AC,,"Plaça del Mercadal, 1-3",Lleida,25,Balaguer,2,,cotxe i moto,POINT (0.80485 41.78955)
,Institut Català d'Energia i Ajuntament de Mataró,,semiRAPID,CCS Combo2+ChadeMO+MENNEKES.F,41.5379,2.45285,EdRsR Marítim Mataró (DC25kW AC25kW),22,AC-DC,,"Passeig del Callao, 220",Barcelona,08,Mataró,2,,,POINT (2.45285 41.5379)
,B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.3744,2.1597,B:SM 33 - Plaça Navas,,,BSM033,"Carrer de Jaume Fabra, 12",Barcelona,08,Barcelona,3+2,,cotxe i moto,POINT (2.1597 41.3744)
,Endesa,VIA PUBLICA,NORMAL,Schuko,41.41396,2.142913,01 AjBCN-Endesa-Clinica Delfos,,,LC015,"Avinguda de Vallcarca, 154",Barcelona,08,Barcelona,2,,moto,POINT (2.142913 41.41396)
,Aparcament Cal Llobet-Selba,APARCAMENT PUBLIC,NORMAL,Schuko,41.78188554764706,1.836778074502945,Aparcament Cal Llobet-Selba,,,,"Carrer Roger de Flor, 11",Barcelona,08,Santpedor,1,,cotxe i moto,POINT (1.836778074502945 41.78188554764706)
,B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.39846,2.186665,B:SM 29 - Plaça de les Arts - TNC,,,BSM032,"Carrer de Padilla, 159",Barcelona,08,Barcelona,4+2,,cotxe i moto,POINT (2.186665 41.39846)
,GAICU,VIA PUBLICA,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.431152,2.183394,EdRR-Meridiana-Estació BUS (DC50kW AC43kW),50,AC-DC,FC008,"Avinguda Meridiana, 400E",Barcelona,08,Barcelona,1,,cotxe,POINT (2.183394 41.431152)
,HOTEL NH CONSTANZA,HOTEL,NORMAL,Schuko,41.38879,2.136332,103 HOTEL NH CONSTANZA,,,,"Carrer de Déu i Mata, 69",Barcelona,08,Barcelona,1,,cotxe,POINT (2.136332 41.38879)
,BIMSA,VIA PUBLICA,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.374847,2.171055,EdRR-Seu Endesa REE-TRYP APOLO  (DC50kW AC43kW),50,AC-DC,FC011,"Avinguda  Paral·lel, 55",Barcelona,08,Barcelona,1,,cotxe,POINT (2.171055 41.374847)
,Endesa,VIA PUBLICA,NORMAL,Schuko,41.402999,2.165666,12 AjBCN-Endesa,,,LC004,"Carrer Indústria, 19 - Passeig de Sant Joan",Barcelona,08,Barcelona,2,,moto,POINT (2.165666 41.402999)
,,,semiRAPID,2xMENNEKES.F + 2TESLA,41.37631,2.14932,EdRsR CC Las Arenas (AC22kW),22,AC,,"Gran Via de les Corts Catalanes, 373-385",Barcelona,08,Barcelona,4,,,POINT (2.14932 41.37631)
,SABA,APARCAMENT PUBLIC,NORMAL,Schuko,41.393417,2.10702,81 SABA Escultor Ramir,,,,"Plaça de l'Escultor Ramir Rocamora - Avinguda  Pearson, 21",Barcelona,08,Barcelona,2,,cotxe,POINT (2.10702 41.393417)
,B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.41907,2.17938,B:SM Mercat del Guinardó,,,,"Carrer de Teodor Llorente, 12",Barcelona,08,Barcelona,,,cotxe i moto,POINT (2.17938 41.41907)
,,ESTACIÓ DE SERVEI (IBIL),RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.25597,1.77889,IBIL ES REPSOL SANT PERE DE RIBES (DC50kW AC43kW),50,AC-DC,,"Avinguda de Sitges, 100",Barcelona,08,Sant Pere de Ribes,2,,,POINT (1.77889 41.25597)
,Area Metropolitana de Barcelona,VIA PUBLICA (AMB),RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.3532641,2.0897608,EdRR Cornellà de Llobregat (DC50kW AC44kW) AMB2,50,AC-DC,AMB2,Carrer de Baltasar Oriol i Mercer-Avinguda de la Porta Diagonal,Barcelona,08,CORNELLÀ DE LLOBREGAT,1,,cotxe,POINT (2.0897608 41.3532641)
,B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.426834,2.184219,B:SM 8 - Concepció Arenal,,,BSM009,"Carrer de Concepción Arenal, 156",Barcelona,08,Barcelona,3+1,,cotxe i moto,POINT (2.184219 41.426834)
,Endesa,VIA PUBLICA,NORMAL,Schuko,41.429535,2.158481,02 AjBCN-Endesa,,,LC031,"Carrer de Lisboa, 7-11",Barcelona,08,Barcelona,2,,moto,POINT (2.158481 41.429535)
