ID,PROMOTOR-GESTOR,ACCES,TIPUS VELOCITAT,TIPUS CONNEXIÓ,LATITUD,LONGITUD,DESIGNACIÓ-DESCRIPTIVA,POTENCIA,TIPUS DE CORRENT,INDENTIFICADOR,ADREÇA,PROVINCIA,CODIPROV,MUNICIPI,NPLACES ESTACIÓ,CODIMUN,TIPUS VEHICLE,Columna amb georeferència
,BIMSA,VIA PUBLICA,NORMAL,Schuko,41.396282,2.159285,Lateral-Mar Diagonal (Còrsega) 2,,,LC046,"Avinguda Diagonal, 387",Barcelona,08,Barcelona,2,,moto,POINT (2.159285 41.396282)
,BIMSA,VIA PUBLICA,NORMAL,Schuko,41.393228,2.145784,Lateral-Muntanya Diagonal (Travessera Gràcia) 2,,,LC048,"Avinguda Diagonal, 598",Barcelona,08,Barcelona,2,,moto,POINT (2.145784 41.393228)
,,,semiRAPID i NORMAL,2xMENNEKES.F+2xSchuko,40.88558,0.80385,EdRsR L'Ametlla de Mar (AC22kW),22,AC,,"Carrer Sant Joan, 57",Tarragona,17,L'Ametlla de Mar,2,,,POINT (0.8038500000000001 40.88558)
,Endesa,VIA PUBLICA,NORMAL,Schuko,41.438882,2.181366,09 AjBCN-Endesa,,,LC018,"Carrer Rio de Janeiro, 81 - Passeig Valldaura",Barcelona,08,Barcelona,2,,moto,POINT (2.181366 41.438882)
,SABA,APARCAMENT PUBLIC,NORMAL,Schuko,41.391895,2.169057,76 SABA Diputació,,,,"Carrer de la Diputació, 286",Barcelona,08,Barcelona,2,,cotxe,POINT (2.169057 41.391895)
,,,,MENNEKES.F + Schuko,41.86187,2.66255,EdRsR Santa Coloma de Farners (AC22kW),22,AC,,"Passatge Ajuntament, 16",Girona,17,Santa Coloma de Farners,2,,,POINT (2.66255 41.86187)
,Aparcament Els Costals,APARCAMENT PUBLIC,NORMAL,Schuko,41.4741,1.98295,Aparcament Els Costals,,,,"Avinguda de Pau Casals, 16",Barcelona,08,Castellbisbal,,,cotxe i moto,POINT (1.9829500000000002 41.4741)
,,,semiRAPID,,40.80762,0.52007,EdRsR Tortosa (AC22kW) PIRVEC-24,22,AC,PIRVEC-24,"Carrer d'Alcanyís, 9",Tarragona,43,Tortosa,,,,POINT (0.52007 40.80762)
,Area Metropolitana de Barcelona,VIA PUBLICA (AMB),RAPID i NORMAL,CCS Combo2+ChadeMO+MENNEKES.M+shucko,41.51058,2.13254,EdRR Barberà del Vallès (DC50kW AC43kW) AMB9,50,AC-DC,AMB9,"Carrer d'Arquímedes, 4",Barcelona,08,Barberà del Vallès,2,,,POINT (2.13254 41.51058)
,B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,Schuko,41.379559,2.16201,B:SM 46 - Urgell,,,BAMSA003,"Carrer del Comte d'Urgell, 14",Barcelona,08,Barcelona,1,,cotxe,POINT (2.16201 41.379559)
,Ajuntament Avià,VIA PUBLICA,semiRAPID,MENNEKES.F,42.07696,1.82252,EdRsR Avià (AC22kW),22,AC,,"Avinguda Pau Casals,22",Barcelona,08,Àvia,1,,cotxe i moto,POINT (1.82252 42.07696)
,Institut Català d'Energia i Ajuntament de Girona,VIA PUBLICA,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.99248,2.81913,EdRR Girona Nord -Carles Puigdemont- (DC50kW AC43kW),50,AC-DC,PIRVEC-5,"Carrer Joan Josep Tharrats i Vidal, 2",Girona,17,Girona,2,,cotxe,POINT (2.81913 41.99248)
,SERVICIOS MERIDIANA,APARCAMENT PUBLIC,NORMAL,Schuko,41.399605,2.170186,114 SERVICIOS MERIDIANA,,,,"Carrer de Mallorca, 335",Barcelona,08,Barcelona,6,,cotxe i moto,POINT (2.170186 41.399605)
